distance,"Actuation: compressing","Actuation: releasing","Force: compressing","Force: releasing"
"0.5",0,0,"56.43418803418803","48.680769230769236"
"0.51",0,0,"57.30051282051282","48.72991452991453"
"0.52",0,0,"57.17897435897436","48.930769230769236"
"0.53",0,0,"57.645299145299155","49.05299145299145"
"0.54",0,0,"56.878205128205124","48.68782051282051"
"0.55",0,0,"57.846581196581205","49.294444444444444"
"0.56",0,0,"57.68000000000001","49.454131054131054"
"0.57",0,0,"57.75961538461539","49.89273504273505"
"0.58",0,0,"58.27820512820512","49.81948717948718"
"0.59",0,0,"58.26495726495727","49.88717948717949"
"0.6",0,0,"58.055128205128206","49.42857142857143"
"0.61",0,0,"57.5625641025641","49.156410256410254"
"0.62",0,0,"57.77692307692307","49.20705128205128"
"0.63",0,0,"57.61025641025641","49.766666666666666"
"0.64",0,0,"58.02756410256411","49.85897435897436"
"0.65",0,0,"58.55982905982906","51.08051282051282"
"0.66",0,0,"59.43333333333332","50.92115384615384"
"0.67",0,0,"59.767307692307696","51.065934065934066"
"0.68",0,0,"59.26196581196581","51.22393162393163"
"0.69",0,0,"59.41794871794872","51.21076923076923"
"0.7",0,0,"59.099487179487184","51.94102564102563"
"0.71",0,0,"59.67589743589743","51.43179487179488"
"0.72",0,0,"59.81410256410256","52.14717948717949"
"0.73",0,0,"60.31367521367522","52.032478632478636"
"0.74",0,0,"60.30598290598291","52.55598290598291"
"0.75",0,0,"59.88931623931624","52.33333333333333"
"0.76",0,0,"60.37564102564102","52.6697435897436"
"0.77",0,0,"60.32820512820513","53.44358974358974"
"0.78",0,0,"60.294871794871796","53.265567765567766"
"0.79",0,0,"61.41794871794872","54.26923076923077"
"0.8",0,0,"61.017307692307696","53.76025641025641"
"0.81",0,0,"61.14358974358974","53.543956043956044"
"0.82",0,0,"61.18589743589743","53.715384615384615"
"0.83",0,0,"61.53736263736264","53.66080586080586"
"0.84",0,0,"61.22948717948718","54.01282051282051"
"0.85",0,0,"61.28846153846154","53.84839743589744"
"0.86",0,0,"61.868498168498164","54.62435897435897"
"0.87",0,0,"62.139487179487176","53.72136752136752"
