distance,"Actuation: compressing","Actuation: releasing","Force: compressing","Force: releasing"
"1.98",0,1,"64.13155270655272","47.267450142450166"
"1.99",0,1,"63.52920227920229","48.79629629629631"
2,0,1,"63.398860398860414","49.171937321937335"
"2.01",0,1,"62.6860398860399","49.02757834757837"
"2.02",0,1,"62.335398860398875","49.38027065527068"
"2.03",0,1,"61.92022792022794","49.932193732193745"
"2.04",0,1,"61.080056980057","50.04296296296298"
"2.05",0,1,"61.16142450142452","50.8774928774929"
"2.06",0,1,"60.95014245014247","50.59715099715101"
"2.07",0,1,"60.7059116809117","50.7084757834758"
"2.08",0,1,"60.13168091168093","50.498005698005706"
"2.09",0,1,"59.20142450142452","50.67920227920229"
"2.1",0,1,"59.01988603988606","50.7842083842084"
"2.11",0,1,"59.16616809116811","50.81424501424503"
"2.12",0,1,"58.610398860398874","50.75270655270656"
"2.13",0,1,"58.46424501424502","50.942450142450156"
"2.14",0,1,"58.83304843304845","50.869373219373244"
"2.15",0,1,"58.05886039886042","50.771082621082634"
"2.16",0,1,"57.52514245014247","50.94245014245016"
"2.17",0,1,"56.49586894586897","50.739373219373235"
"2.18",0,1,"57.0059116809117","51.142450142450166"
"2.19",0,1,"56.28219373219375","51.00313390313392"
"2.2",0,1,"56.03005698005699","51.38646723646725"
"2.21",0,1,"55.91424501424503","51.27014245014247"
"2.22",0,1,"55.748091168091186","51.371509971509994"
"2.23",0,1,"55.46735856735858","51.45321937321938"
"2.24",0,1,"55.06245014245015","51.62142450142452"
"2.25",0,1,"55.19928774928777","51.64603988603991"
"2.26",0,1,"54.52706552706554","51.95475783475786"
"2.27",0,1,"54.06142450142452","51.735398860398874"
"2.28",0,1,"53.56680911680913","51.89424501424503"
"2.29",0,1,"53.47150997150999","51.84757834757836"
"2.3",0,1,"53.65783475783478","51.98501424501427"
"2.31",0,1,"52.85343915343917","52.08411680911682"
"2.32",0,1,"53.07129629629631","52.08757834757837"
"2.33",0,1,"53.22621082621084","52.249629629629645"
"2.34",0,1,"53.21488603988605","52.11629629629631"
"2.35",0,1,"53.01168091168093","52.1711680911681"
"2.36",0,1,"52.9889702889703","51.95655270655272"
"2.37",1,1,"52.952706552706566","52.17732193732196"
"2.38",1,1,"53.16296296296298","52.12296296296298"
"2.39",1,1,"53.42022792022794","52.22911680911683"
"2.4",1,1,"53.702450142450154","52.270142450142465"
"2.41",1,1,"53.74052706552708","52.61886039886042"
"2.42",1,1,"53.720227920227934","52.343475783475796"
"2.43",1,1,"53.95834757834759","52.419373219373234"
"2.44",1,1,"53.947578347578364","52.595441595441606"
"2.45",1,1,"54.256552706552725","52.6826210826211"
"2.46",1,1,"54.66809116809119","52.6834757834758"
"2.47",1,1,"54.24501424501426","52.93988603988606"
"2.48",1,1,"54.5559116809117","52.77578347578349"
"2.49",1,1,"54.35087505087507","53.131552706552725"
"2.5",1,1,"54.4749287749288","53.17535612535614"
"2.51",1,1,"54.615783475783495","53.15014245014247"
"2.52",1,1,"54.81754171754172","53.30056980056981"
"2.53",1,1,"54.60227920227921","53.26766381766384"
"2.54",1,1,"54.96168091168093","53.36232193732195"
"2.55",1,1,"55.078347578347596","53.3817663817664"
"2.56",1,1,"54.77065527065529","53.373219373219385"
"2.57",1,1,"55.12706552706553","53.538603988603995"
"2.58",1,1,"55.30603988603991","53.48796296296298"
"2.59",1,1,"55.27450142450144","53.590527065527084"
"2.6",1,1,"55.42492877492879","53.7110398860399"
"2.61",1,1,"55.68048433048435","53.67001424501426"
"2.62",1,1,"55.516809116809135","53.730911680911696"
"2.63",1,1,"55.43817663817666","53.82655270655273"
"2.64",1,1,"55.46168091168093","54.5411680911681"
"2.65",1,1,"55.37578347578349","53.792450142450164"
"2.66",1,1,"55.59971509971513","53.921937321937335"
"2.67",1,1,"55.56424501424503","54.221571021571044"
"2.68",1,1,"55.73155270655272","53.89629629629631"
"2.69",1,1,"55.80911680911682","54.33036223036225"
"2.7",1,1,"55.99245014245016","54.397321937321955"
"2.71",1,1,"56.08796296296298","54.42706552706554"
"2.72",1,1,"56.013219373219385","54.683842083842094"
"2.73",1,1,"56.43321937321939","54.688091168091184"
"2.74",1,1,"56.056125356125364","54.782193732193754"
"2.75",1,1,"56.03283475783478","54.955270655270674"
"2.76",1,1,"56.54415954415956","54.87886039886041"
"2.77",1,1,"56.25783475783478","55.0660398860399"
"2.78",1,1,"56.485014245014256","55.0911680911681"
"2.79",1,1,"56.60527065527068","55.05834757834759"
"2.8",1,1,"56.559544159544174","55.45219373219375"
"2.81",1,1,"56.58039886039887","55.12962962962965"
"2.82",1,1,"56.68571937321939","55.02129629629631"
"2.83",1,1,"56.772706552706566","55.48245014245016"
"2.84",1,1,"56.950142450142465","55.29821937321939"
"2.85",1,1,"57.02364672364674","55.488603988604"
"2.86",1,1,"57.100783475783494","55.65527065527067"
"2.87",1,1,"57.155555555555566","55.712962962962976"
"2.88",1,1,"57.33732193732195","55.82926332926335"
"2.89",1,1,"57.3889702889703","55.821937321937334"
"2.9",1,1,"57.558262108262134","55.871296296296315"
"2.91",1,1,"57.51552706552709","56.09693732193734"
"2.92",1,1,"57.76296296296298","56.23475783475785"
"2.93",1,1,"57.8326210826211","56.346479446479464"
"2.94",1,1,"57.82655270655273","56.25270655270657"
"2.95",1,1,"57.858860398860415","56.2757834757835"
"2.96",1,1,"57.99245014245016","56.37236467236469"
"2.97",1,1,"58.05014245014247","56.20868945868947"
"2.98",1,1,"58.31937321937323","56.22296296296298"
"2.99",1,1,"58.2084757834758","56.50484330484332"
3,1,1,"58.255783475783495","56.51809116809119"
"3.01",1,1,"58.44318274318276","56.47373219373221"
"3.02",1,1,"58.43475783475785","56.5460398860399"
"3.03",1,1,"58.48155270655272","56.612193732193745"
"3.04",1,1,"58.61296296296298","56.98903133903136"
"3.05",1,1,"58.73219373219375","56.74629629629631"
"3.06",1,1,"58.81373219373221","56.94245014245016"
