distance,"Actuation: compressing","Actuation: releasing","Force: compressing","Force: releasing"
"0.76",0,0,"38.00868945868946","30.64740740740741"
"0.77",0,0,"38.418304843304846","31.110997150997157"
"0.78",0,0,"38.25466015466016","30.938817663817666"
"0.79",0,0,"38.53689458689459","31.110997150997157"
"0.8",0,0,"38.71894586894587","31.287749287749293"
"0.81",0,0,"38.60804843304844","31.099074074074082"
"0.82",0,0,"38.65933048433048","31.35612535612536"
"0.83",0,0,"38.66125356125357","31.562108262108268"
"0.84",0,0,"38.97022792022793","31.73817663817664"
"0.85",0,0,"38.81894586894587","31.684330484330488"
"0.86",0,0,"39.07535612535613","31.52484330484331"
"0.87",0,0,"39.242663817663825","31.975612535612537"
"0.88",0,0,"39.18988603988604","31.864245014245018"
"0.89",0,0,"39.178176638176645","31.914074074074072"
"0.9",0,0,"39.2920227920228","31.992877492877493"
"0.91",0,0,"39.168945868945876","32.11561253561254"
"0.92",0,0,"39.37578347578348","32.18433048433049"
"0.93",0,0,"39.388603988604","32.491702279202286"
"0.94",0,0,"39.48262108262109","32.21253561253562"
"0.95",0,0,"39.6745868945869","32.852279202279206"
"0.96",0,0,"39.482193732193736","32.64394586894587"
"0.97",0,0,"39.806381766381776","32.655270655270655"
"0.98",0,0,"39.950484330484336","32.70484330484331"
"0.99",0,0,"40.17343304843305","32.984971509971516"
1,0,0,"40.18689458689459","32.834330484330486"
"1.01",0,0,"40.13176638176638","33.129458689458694"
"1.02",0,0,"40.23304843304844","33.197150997151"
"1.03",0,0,"40.37612535612536","33.32599715099715"
"1.04",0,0,"40.31168091168092","33.36125356125357"
"1.05",0,0,"40.26189458689459","33.342022792022796"
"1.06",0,0,"40.528774928774936","33.49330484330485"
"1.07",0,0,"40.648433048433056","33.74330484330485"
"1.08",0,0,"40.65942205942206","33.754293854293856"
"1.09",0,0,"40.60292022792023","33.88176638176639"
"1.1",0,0,"40.640740740740746","33.93817663817664"
"1.11",0,0,"40.6954415954416","34.102279202279206"
"1.12",0,0,"41.285063085063086","34.237535612535616"
"1.13",0,0,"41.138176638176645","34.273219373219376"
"1.14",0,0,"40.73240740740741","34.14176638176638"
"1.15",0,0,"40.79920227920228","34.265740740740746"
"1.16",0,0,"40.94971509971511","34.93753561253561"
"1.17",0,0,"41.25099715099716","34.66894586894587"
"1.18",0,0,"41.16022792022793","34.58125356125357"
"1.19",0,0,"41.512535612535615","35.05920227920228"
"1.2",0,0,"41.28843304843305","34.897150997150995"
"1.21",0,0,"41.37150997150997","35.42962962962963"
"1.22",0,0,"41.196509971509975","35.43048433048433"
"1.23",0,0,"41.1522792022792","35.16424501424502"
"1.24",0,0,"41.385356125356125","35.11125356125356"
"1.25",0,0,"41.59586894586894","34.85740740740741"
"1.26",0,0,"41.398005698005704","35.20381766381767"
"1.27",0,0,"41.51048433048434","35.56980056980058"
"1.28",0,0,"41.436638176638176","35.342022792022796"
"1.29",0,0,"41.84779202279203","35.67086894586895"
"1.3",0,0,"41.68817663817664","35.3937321937322"
"1.31",0,0,"41.92433048433048","35.43753561253562"
"1.32",0,0,"41.581766381766386","35.99907407407408"
"1.33",0,0,"41.91407407407407","35.71766381766382"
"1.34",0,0,"42.0170227920228","35.78689458689459"
"1.35",0,0,"42.10612535612536","36.01638176638177"
"1.36",0,0,"42.5980056980057","35.989458689458694"
"1.37",0,0,"42.41210826210827","35.90484330484332"
"1.38",0,0,"42.609330484330485","36.62997150997152"
"1.39",0,0,"42.66997150997152","36.30398860398861"
"1.4",0,0,"42.50313390313391","36.81851851851852"
"1.41",0,0,"42.9745868945869","36.50330484330485"
"1.42",0,0,"42.929971509971516","36.43561253561254"
"1.43",0,0,"42.98689458689459","37.114458689458694"
"1.44",0,0,"43.002279202279205","36.959330484330486"
"1.45",0,0,"43.26210826210826","37.05561253561253"
"1.46",0,0,"42.990313390313396","37.164330484330485"
"1.47",0,0,"42.964245014245016","37.17321937321938"
"1.48",0,1,"43.235099715099715","37.15740740740741"
"1.49",1,1,"43.481766381766384","37.35099715099716"
"1.5",1,1,"43.539202279202286","37.71509971509972"
"1.51",1,1,"43.775356125356126","38.32740740740741"
"1.52",1,1,"43.73663817663818","38.259971509971514"
"1.53",1,1,"43.953561253561254","38.82022792022792"
"1.54",1,1,"43.844330484330484","39.27856125356126"
"1.55",1,1,"44.17766381766382","39.387535612535615"
"1.56",1,1,"44.45099715099715","40.297792022792024"
"1.57",1,1,"44.49074074074075","40.783048433048435"
"1.58",1,1,"44.43497150997152","40.693561253561256"
"1.59",1,1,"44.679202279202286","40.92150997150998"
"1.6",1,1,"44.85783475783476","41.28347578347579"
"1.61",1,1,"45.1497150997151","41.47343304843305"
"1.62",1,1,"45.26381766381767","42.07856125356126"
